   3541631053.256637    5.110620788131  aro  300   12   327.000 0.1091   0.9721
 -9.45812465456483120e-10 -6.80990352884613820e-02 -1.33580119166396428e-04
  1.90501592776531215e-07  2.00004438411196960e-10 -1.71393530072287273e-13
 -1.18807098386605240e-16  7.39780341326081405e-20  3.81119297821577858e-23
 -3.74630664617023070e-26 -2.77803970644917338e-29  2.71487956251713776e-31
B0655+64   18-Jun-14  233000.00   56826.97916666660             8.771169  0.150 -8.261
   3541723018.257525    5.110620788131  aro  300   12   327.000 0.3116   0.9721
  3.14273889702974818e-09 -8.34570857683460121e-02  8.95043660391742880e-05
  2.36674659606072641e-07 -1.33586416270743194e-10 -2.12437059584190862e-13
  7.91723770220102977e-17  8.93354222946322170e-20 -2.55918014880222170e-23
  6.78027269569592212e-27  2.36114591502819436e-29 -3.39823326602998889e-31
B0655+64   19-Jun-14   43000.00   56827.18749999990             8.771169  0.147 -8.773
   3541814997.317314    5.110620788131  aro  300   12   327.000 0.5141   0.9721
 -8.12600474972904885e-10  1.26761277493568081e-02  1.86581611682569919e-04
 -5.10163493964213989e-08 -2.79748042514025734e-10  4.50974710794561018e-14
  1.68178503501692202e-16 -1.84013272363850945e-20 -5.42439166461327554e-23
  1.75296718776665267e-26  1.03003493270631813e-29 -1.82251073508466298e-31
B0655+64   19-Jun-14   83000.00   56827.35416666660             8.771169  0.138 -8.259
   3541888602.479301    5.110620788131  aro  300   12   327.000 0.6761   0.9721
 -4.99109791528024732e-09  7.94588687290060935e-02  6.71914175866479465e-05
 -2.51504024849984627e-07 -1.00908343909422693e-10  2.26867656646192636e-13
  6.12934841387371768e-17 -9.70657030472351111e-20 -1.86979541381542229e-23
 -1.67707259422894803e-26 -2.73878251738871112e-29  5.54530222144868363e-31
B0655+64   19-Jun-14  133000.00   56827.56249999990             8.771169  0.135 -8.671
   3541980616.504105    5.110620788131  aro  300   12   327.000 0.8787   0.9721
 -1.48169465022038316e-09  5.05306092839797882e-02 -1.50168696332728379e-04
 -1.64312942758123576e-07  2.25836309975815405e-10  1.47652635446957551e-13
 -1.36649829802814078e-16 -6.32728151173587787e-20  4.73185462369215063e-23
  2.59610668653830735e-26 -3.90673675626440192e-29 -1.32588335178449170e-31
B0655+64   19-Jun-14  183000.00   56827.77083333320             8.771169  0.137 -8.640
   3542072606.963751    5.110620788131  aro  300   12   327.000 0.0812   0.9721
 -3.75095212485840324e-10 -5.57915773360021655e-02 -1.55027520210979103e-04
  1.54797921554264359e-07  2.32195101134696145e-10 -1.39561186623230649e-13
 -1.38209096552653090e-16  6.05080702621057746e-20  4.53348631927702206e-23
 -2.03445397588119416e-26 -4.43020442594388347e-29  4.57338498445207664e-32
B0655+64   19-Jun-14  233000.00   56827.97916666660             8.771169  0.138 -8.234
   3542164573.084156    5.110620788131  aro  300   12   327.000 0.2837   0.9721
  3.21893971585085134e-09 -8.92296327805019718e-02  5.90217344558606409e-05
  2.55048933596572867e-07 -8.80066504383778655e-11 -2.28760180029855161e-13
  5.21539409664843457e-17  9.59408688080627501e-20 -1.83273863241774656e-23
  8.82496715866782077e-27  3.95655634302117446e-29 -4.11605574477015761e-31
B0655+64   20-Jun-14   43000.00   56828.18749999990             8.771170  0.135 -8.759
   3542256548.476634    5.110620788131  aro  300   12   327.000 0.4862   0.9721
 -4.25770284914056552e-11 -2.51025426271836742e-03  1.90050538468289012e-04
 -4.34118142681711163e-09 -2.84779060175012106e-10  3.05269279203409303e-15
  1.70810938167123065e-16 -1.41953625318872052e-22 -5.55979292116356817e-23
  8.44870461877222484e-27  2.60292909880443855e-29 -1.28761226822313843e-31
