  1.47658564732244922e-18 -3.86208310339266190e-21 -8.33137378826998906e-24
1810+17    30-Jul-13   33000.00   56503.14583333320            39.659353  0.413 -3.027
  50566787614.489310  601.411516081674  aro  300   12   150.000 0.2904   6.7490
  1.29738560020635670e-03 -3.08277250784727164e+00  8.26030826607729828e-03
  2.29823105609282155e-04 -6.02830249889821355e-07 -9.93841795086122681e-09
  1.72386450741384759e-11  2.02307105141771995e-13 -2.48611306537802611e-16
 -2.25931793668801984e-18  1.65198884548844796e-21  1.22840312581916943e-23
1810+17    30-Jul-13   83000.00   56503.35416666660            39.659353  0.424 -3.103
  50577612572.452465  601.411516081674  aro  300   12   150.000 0.6964   6.7490
  1.04460405976692684e-03  1.06634575585211319e-01  6.09221640097912590e-03
 -2.36408553734761105e-04 -4.41570236334247683e-07  1.02324106794164613e-08
  1.26556762291204717e-11 -2.08508312485010100e-13 -1.83555848913799327e-16
  2.33452343568106220e-18  1.23135046122260649e-21 -1.27513526575817739e-23
1810+17    30-Jul-13  133000.00   56503.56249999990            39.659353  0.420 -2.765
  50588437578.493385  601.411516081674  aro  300   12   150.000 0.1025   6.7490
 -2.45548768091541705e-03 -2.64313692956078183e+00 -1.84318746912746079e-02
  1.63240450090012260e-04  1.33326769998113758e-06 -7.07698310155671323e-09
 -3.79867910662365701e-11  1.45260348603509281e-13  5.43275143122377542e-16
 -1.65561025833906354e-18 -3.55897306572618834e-21  9.32929083743831801e-24
